meeting_date,hawkishness_im,uncertainty_im,dissent_detected,fg_type,fg_direction,inflation_outlook,growth_prospects,labor_market,speech_hawkishness,agg_econ_index,expected_change_bp,entropy,modal_outcome,hawkishness_index_ii,policy_uncertainty,p_hold,dfr_actual_bp,dfr_surprise_mech,dfr_surprise_sal,dfr_surprise_norm,dfr_direction,mro_surprise_mech,month,hicp_yoy,unemp_rate,gdp_yoy
1999-03-04,-0.1,0.6,False,Delphic,hold,-0.4045454545454545,-0.0363636363636363,0.0136363636363636,0.3775,-0.2105,-0.1575,0.3946,hold,-0.0032,0.2452,0.8998,0.0,0.1575,0.1056,,no_surprise,0.1575,1999-03-31,0.9,,2.2
1999-03-18,0.15,0.55,False,Delphic,ambiguous,-0.2642857142857143,-0.1142857142857143,0.0142857142857142,0.5367,-0.1636,0.265,0.6392,hold,0.0053,0.3972,0.7998,0.0,-0.265,0.2234,,no_surprise,-0.265,1999-03-31,0.9,,2.2
1999-04-08,-0.05,0.4,False,Delphic,hold,-0.375,-0.2083333333333333,-0.0277777777777777,0.3371,-0.2556,0.2,0.5942,hold,0.004,0.3692,0.8208,-50.0,-50.2,13.8155,,dovish_surprise,-50.2,1999-04-30,1.1,,2.2
1999-04-22,-0.7,0.3,False,Odyssean,hold,-0.355,-0.2299999999999999,-0.055,0.225,-0.2575,-1.6525,0.2434,hold,-0.0331,0.1512,0.9339,0.0,1.6525,0.0684,,no_surprise,1.6525,1999-04-30,1.1,,2.2
1999-05-06,-0.52,0.53,False,Odyssean,hold,-0.3444444444444444,-0.2333333333333333,-0.0277777777777777,0.2617,-0.2478,-6.4675,1.2141,hold,-0.1293,0.7544,0.5783,0.0,6.4675,0.5477,,hawkish_surprise,6.4675,1999-05-31,0.9,,2.2
1999-05-20,0.025,0.425,False,Delphic,hold,-0.2476190476190476,-0.2285714285714286,-0.0380952380952381,0.2667,-0.2,-0.775,0.4627,hold,-0.0155,0.2875,0.8738,0.0,0.775,0.1349,,no_surprise,0.775,1999-05-31,0.9,,2.2
1999-06-02,-0.1,0.4,False,Delphic,ambiguous,-0.196,-0.2,-0.076,0.4367,-0.1732,-1.525,0.5177,hold,-0.0305,0.3217,0.8724,0.0,1.525,0.1365,0.0782,no_surprise,1.525,1999-06-30,0.9,,2.3
1999-06-17,0.05,0.575,False,Delphic,ambiguous,-0.2387096774193547,-0.1032258064516129,-0.0451612903225806,0.2612,-0.1594,-1.365,0.6336,hold,-0.0273,0.3937,0.799,0.0,1.365,0.2244,0.0747,no_surprise,1.365,1999-06-30,0.9,,2.3
1999-07-01,0.075,0.5,False,Delphic,hold,-0.1890625,-0.109375,-0.009375,0.4888,-0.1292,0.2725,0.954,hold,0.0054,0.5928,0.6999,0.0,-0.2725,0.3568,-0.0158,no_surprise,-0.2725,1999-07-31,1.0,,2.3
1999-07-15,-0.05,0.5,False,Delphic,ambiguous,-0.0631578947368421,-0.0789473684210526,-0.1473684210526316,0.3583,-0.0847,-1.955,0.6974,hold,-0.0391,0.4333,0.7993,0.0,1.955,0.224,0.1197,no_surprise,1.955,1999-07-31,1.0,,2.3
1999-07-29,0.35,0.4,False,Delphic,hike,-0.0575,-0.1474999999999999,-0.15,0.5025,-0.103,10.5325,0.8232,hold,0.2107,0.5115,0.6479,0.0,-10.5325,0.434,-0.6746,dovish_surprise,-10.5325,1999-07-31,1.0,,2.3
1999-08-26,0.33,0.42,False,Delphic,hike,-0.0130434782608695,0.1152173913043478,0.0130434782608695,0.0,0.0307,5.7625,0.6733,hold,0.1153,0.4183,0.7215,0.0,-5.7625,0.3264,-0.3838,dovish_surprise,-5.7625,1999-08-31,1.1,,2.3
1999-09-09,0.32,0.47,False,Delphic,hike,0.0225806451612903,0.0967741935483871,0.0032258064516128,0.35,0.041,7.0425,0.881,hold,0.1409,0.5474,0.6821,0.0,-7.0425,0.3826,-0.4897,dovish_surprise,-7.0425,1999-09-30,1.2,,2.9
1999-09-23,0.08,0.45,False,Delphic,ambiguous,0.0206896551724137,0.1448275862068965,-0.0206896551724137,0.3525,0.0497,5.3875,1.2467,hold,0.1077,0.7746,0.5511,0.0,-5.3875,0.5958,-0.376,dovish_surprise,-5.3875,1999-09-30,1.2,,2.9
1999-10-07,0.5,0.3,False,Delphic,hike,-0.02,0.0933333333333333,0.01,0.2978,0.02,11.2625,0.8513,hold,0.2252,0.5289,0.6272,0.0,-11.2625,0.4665,-0.79,dovish_surprise,-11.2625,1999-10-31,1.3,,2.9
1999-10-21,0.4,0.25,False,Delphic,hike,0.12,0.2649999999999999,0.025,0.1944,0.1445,4.725,0.5585,hold,0.0945,0.347,0.789,0.0,-4.725,0.237,-0.8822,no_surprise,-4.725,1999-10-31,1.3,,2.9
1999-11-04,0.47,0.4,False,Delphic,hike,0.1904761904761904,0.2857142857142857,-0.0619047619047619,0.3025,0.1686,13.2,0.8474,hold,0.264,0.5265,0.5195,50.0,36.8,3.047,6.9936,hawkish_surprise,36.8,1999-11-30,1.4,,2.9
1999-11-18,0.9,0.27,False,Delphic,ambiguous,0.2019999999999999,0.292,0.048,0.3043,0.1982,12.2075,1.0041,hold,0.2441,0.6239,0.5626,0.0,-12.2075,0.5752,-1.0154,dovish_surprise,-12.2075,1999-11-30,1.4,,2.9
